date,politics,diplomacy,military,economy,society,information,infrastructure
2025-01-01,25.0,25.0,25.0,25.0,35.0,25.0,25.0
2025-01-02,27.495835416170703,26.24947923176696,29.96673326987653,25.749887505062393,35.24999583335417,32.38800516653349,28.711059388817844
2025-01-03,29.96673326987653,27.495835416170703,34.735458557716264,26.499100161986114,35.499966667333325,39.116061834875886,32.191383079063044
2025-01-04,32.38800516653349,28.73595331183998,39.116061834875886,27.246963729950277,35.74988750506239,44.58317274068708,35.22458140035001
2025-01-05,34.735458557716264,29.96673326987653,42.93390227248807,27.992805182222984,35.99973335466586,48.30097714918065,37.62206477211845
2025-01-06,36.985638465105076,31.185098981363073,46.03677462019741,28.73595331183998,36.249479231766955,49.93737466510136,39.234769290333794
2025-01-07,39.116061834875886,32.38800516653349,48.30097714918066,29.475739335645606,36.499100161986114,49.34619077195488,39.96242479906081
2025-01-08,41.105442180942276,33.57244518638628,49.636243249711505,30.21149749615249,36.74857118343832,46.58023416622184,39.75978920310905
2025-01-09,42.93390227248807,34.735458557716264,49.98934007603763,30.942565660678365,36.99786734922932,41.88657951377878,38.63946140238522
2025-01-10,44.58317274068709,35.874138352780754,49.34619077195488,31.66828591722078,37.246963729950274,35.684497005845756,36.67109795331882
2025-01-11,46.03677462019741,36.985638465105076,47.73243567064205,32.38800516653349,37.495835416170706,28.52800020149668,33.977082161559345
2025-01-12,47.280184001535886,38.06718072326648,45.21241009548975,33.10107570987171,37.74445752092937,21.056357646418796,30.724914880784976
2025-01-13,48.30097714918066,39.116061834875886,41.88657951377877,33.80685583187725,37.99280518222298,13.936988917628698,27.11680012089801
2025-01-14,49.08895463542983,40.12966014340099,37.887534295536604,34.50471037807904,38.24085356549237,7.805846020400654,23.377072982048375
2025-01-15,49.636243249711505,41.105442180942276,33.37470375389762,35.19401132648925,38.48857786610591,3.2106056896602944,19.738251584655703
2025-01-16,49.93737466510136,42.04096900058335,28.52800020149668,35.874138352780754,38.73595331183998,0.5617470583725748,16.426580218864842
2025-01-17,49.98934007603763,42.93390227248807,23.540646414310498,36.54447938853707,38.98295516535615,0.09588477910398296,13.647962570381075
2025-01-18,49.791620261311714,43.782010128507316,18.61147244932921,37.20443117207269,39.2295587266749,1.8546329418066883,11.575159626571248
2025-01-19,49.34619077195488,44.58317274068709,13.936988917628689,37.85339979132783,39.475739335645606,5.680887811100309,10.337048235023545
2025-01-20,48.65750219218536,45.33538761973435,9.703552726432019,38.49080121834923,39.721472374412514,11.23286143505906,10.01060816536933
2025-01-21,47.73243567064205,46.03677462019741,6.079937617301791,39.116061834875886,39.96673326987653,18.014612545026853,10.616135880052923
2025-01-22,46.58023416622184,46.68558063985043,3.2106056896602944,39.728618948556736,40.21149749615249,25.420347512108744,12.11598259860112
2025-01-23,45.21241009548975,47.280184001535886,1.2099481527620952,40.32792129933584,40.455740577021736,32.78853408783445,14.41689511644412
2025-01-24,43.642630304418006,47.81909850651303,0.1577249091633881,40.9134295555492,40.69943808837971,39.460994109704984,17.375813837511124
2025-01-25,41.88657951377877,48.30097714918066,0.09588477910398652,41.484616799286826,40.94256566067836,44.841696596228815,20.808767527016112
2025-01-26,39.96180360259891,48.72461548388965,1.026893133421538,42.04096900058335,41.185098981363076,48.449999419368474,24.50231175178665
2025-01-27,37.887534295536604,49.08895463542983,2.9136336069961715,42.58198548001026,41.42701379730388,49.96358363436512,28.226799821317233
2025-01-28,35.68449700584574,49.393083945666476,5.68088781110032,43.107179359253564,41.66828591722078,49.247245271127156,31.750661106709266
2025-01-29,33.37470375389762,49.636243249711505,9.218334053191976,43.61607799927148,41.908891214102844,46.36497270220701,34.85479898078184
2025-01-30,30.98123323034955,49.81782477593971,13.384945514656085,44.108223425637625,42.14880562762089,41.57423075205458,37.34621318517258
2025-01-31,28.52800020149668,49.93737466510136,18.014612545026853,44.58317274068708,42.38800516653349,35.30296213104391,39.06999965162108
2025-02-01,26.03951656083226,49.99459410473392,22.92276492956259,45.040498522094424,42.626465911086086,28.111360587676586,39.91898168666764
2025-02-02,23.540646414310498,49.98934007603763,27.91373012126234,45.47978920752496,42.86416401540294,20.641830469425507,39.84037369935073
2025-02-03,21.056357646418782,49.92162571134797,32.78853408783446,45.90064946501302,43.10107570987171,13.561602655616966,38.839063153590104
2025-02-04,18.61147244932921,49.791620261311714,37.352833778465225,46.30270054873407,43.33717730352036,7.503132810161443,36.97730668935235
2025-02-05,16.230419307759504,49.59964867184843,41.424664967969726,46.68558063985043,43.57244518638628,3.007606000708247,34.37085930631289
2025-02-06,13.936988917628689,49.34619077195488,44.84169659622883,47.04894517212369,43.80685583187725,0.4765942483377188,31.18177727862635
2025-02-07,11.754096477287664,49.0318800743825,47.46770239529067,47.392467142001195,44.04038579912405,0.13618529490027242,27.608342280706502
2025-02-08,9.703552726432019,48.65750219218536,49.197991800787165,47.71583740289708,44.273011735324566,2.0167868583831066,23.87273319307286
2025-02-09,7.805846020400647,48.22399287509673,49.96358363436512,48.01876494340339,44.50471037807904,5.950410402024168,20.207212095665895
2025-02-10,6.079937617301791,47.73243567064205,49.733956165584544,48.30097714918065,44.735458557716264,11.585677049989126,16.839683336659455
2025-02-11,4.5430722233897285,47.18405921583438,48.518263916994314,48.56222004829244,44.96523319961057,18.419205215854934,13.97952354392807
